

----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561
12.	15121
13.	20161
14.	45361
15.	55441
16.	110881
17.	332641
18.	498961


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561
12.	15121
13.	20161


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561
12.	15121
13.	20161
14.	45361


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561
12.	15121


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61


----------- New Calculation -------------
1.	2
8.	181
2.	3
3.	5
4.	7
5.	13
9.	241
6.	37
7.	61
8.	181
9.	241
10.	2521
10.	2521
11.	7561
12.	15121
13.	20161
11.	7561
14.	45361
12.	15121


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561


----------- New Calculation -------------
1.	15121


----------- New Calculation -------------
1.	11003
2.	11027
3.	11047
4.	11071
5.	11161
6.	11701
7.	12097
8.	12241
9.	12601
10.	15121
11.	20161
12.	30241
13.	45361
14.	55441
15.	100801
16.	110881
17.	196561


----------- New Calculation -------------


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	31
7.	37
8.	61
9.	181
10.	241
11.	421
12.	1009
13.	1321
14.	1801
15.	2161
16.	2521
17.	6301
18.	7561
19.	12601
20.	15121
21.	20161
22.	30241
23.	45361
24.	55441
25.	100801
26.	110881
27.	196561
28.	332641


----------- New Calculation -------------
1.	2
2.	3
3.	5
4.	7
5.	13
6.	37
7.	61
8.	181
9.	241
10.	2521
11.	7561
12.	15121
13.	20161
14.	45361
15.	55441
16.	110881
17.	332641
18.	498961
